ID,MAT 1,MAT 2,MAT 3,MAT 4,MAT 5,MAT 6
186213,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
186860,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
186912,6.1,6.3,6.4,5.6,5.0,5.5
186913,6.0,7.4,7.7,5.1,6.2,5.6
187045,5.0,5.0,#N/A,#N/A,#N/A,#N/A
187245,6.5,6.4,6.7,6.0,7.7,#N/A
187331,8.6,8.9,9.7,7.2,6.3,6.0
188270,7.2,8.5,8.2,6.0,6.6,6.2
189631,7.6,8.9,6.3,7.0,5.0,5.0
191428,6.9,8.4,6.1,8.8,7.9,6.3
191429,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
191432,8.5,7.6,9.3,9.4,8.8,8.2
191717,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
191719,6.0,7.3,5.0,7.5,6.9,6.0
191729,6.0,5.0,5.0,5.0,5.0,#N/A
191730,9.1,8.5,9.8,7.9,9.1,8.0
191732,9.6,8.6,9.1,7.1,7.4,6.8
191733,9.7,7.5,6.8,7.6,7.3,#N/A
192075,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
192236,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
192510,6.0,6.4,9.0,8.0,6.7,#N/A
193272,8.7,9.4,8.7,7.3,8.8,6.0
194176,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
195376,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
195501,6.8,9.1,8.8,#N/A,#N/A,#N/A
195564,8.0,7.4,7.8,#N/A,#N/A,#N/A
196047,8.7,7.9,9.1,7.4,6.6,#N/A
196139,6.0,9.1,8.1,9.0,7.6,6.1
196180,6.3,7.3,6.0,6.0,6.0,#N/A
196393,7.6,6.4,6.9,7.7,6.9,#N/A
196591,7.6,8.6,10,7.3,6.0,5.0
196706,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
196883,5.0,7.0,7.6,5.0,6.4,6.2
199444,9.3,8.8,9.6,8.5,8.3,6.7
200519,8.2,6.0,8.7,6.6,6.3,#N/A
200787,8.5,7.5,9.4,6.7,6.8,7.5
200909,5.6,#N/A,#N/A,#N/A,#N/A,#N/A
200920,7.8,6.8,8.6,7.9,7.8,#N/A
200925,7.0,8.1,6.9,5.0,6.1,6.1
201016,6.7,6.9,6.6,6.1,6.0,5.1
201017,6.0,5.0,6.0,5.0,5.0,5.0
201018,8.8,7.9,9.3,8.5,8.8,7.4
201020,8.8,8.7,9.5,9.2,9.7,8.8
201021,7.6,6.0,7.2,7.6,8.1,6.7
201131,10,10,9.8,9.8,8.6,8.0
201222,6.7,7.1,6.0,6.8,7.1,#N/A
201784,8.6,8.4,9.0,6.9,6.2,#N/A
201891,10,9.4,9.8,9.1,8.8,8.6
201901,7.7,6.0,8.4,#N/A,#N/A,#N/A
201915,6.8,6.8,8.9,5.7,8.3,6.0
202008,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
202150,9.4,8.8,6.4,6.0,6.2,#N/A
202381,10,8.6,8.8,7.6,8.6,8.0
202574,8.2,8.1,8.4,5.0,5.0,#N/A
202960,6.8,7.0,6.4,5.0,#N/A,#N/A
203574,6.1,7.3,6.7,5.0,6.4,6.0
204158,6.0,6.0,6.0,5.0,5.0,#N/A
204245,6.1,6.0,6.0,5.0,5.0,#N/A
204246,9.3,6.6,7.6,6.5,6.7,5.0
204588,8.5,8.1,9.2,9.3,7.3,7.5
204607,5.1,#N/A,#N/A,#N/A,#N/A,#N/A
204746,8.0,7.2,6.0,6.3,7.2,6.9
204978,6.3,6.8,6.0,#N/A,5.0,#N/A
205123,5.5,5.0,6.0,7.3,7.2,6.4
205803,6.3,5.0,6.6,5.0,6.0,#N/A
205981,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
206179,6.1,#N/A,#N/A,#N/A,#N/A,#N/A
207354,9.9,10,9.5,10,9.7,9.4
208671,8.2,9.1,8.7,8.5,8.3,8.1
208821,8.0,8.3,8.6,8.9,9.7,8.5
208824,6.8,7.3,7.7,6.0,6.1,5.5
208829,8.2,7.6,7.8,6.4,6.0,5.0
208834,7.0,8.2,7.1,6.7,6.0,6.0
208875,6.1,6.4,6.0,7.1,6.0,5.0
208988,9.4,9.4,9.6,10,10,10
209082,8.6,8.3,7.8,7.9,8.5,7.2
209189,8.5,8.8,7.2,7.2,8.4,5.0
209237,6.6,7.8,6.1,7.2,7.7,6.4
209327,8.5,8.7,8.5,7.0,6.3,5.0
209442,8.9,7.0,8.8,5.0,5.0,#N/A
209587,6.9,6.4,6.0,7.3,6.4,#N/A
209590,8.1,5.4,8.8,7.1,6.0,6.0
209591,8.9,9.6,8.7,8.8,9.4,8.5
209592,6.3,5.0,5.0,#N/A,#N/A,#N/A
209819,6.1,6.4,6.8,#N/A,#N/A,#N/A
209926,#N/A,#N/A,#N/A,#N/A,#N/A,7.2
210105,8.3,8.9,9.3,8.1,7.4,6.8
210119,9.4,9.6,9.8,9.6,10,9.7
210241,7.6,7.0,7.4,6.7,5.1,#N/A
210719,#N/A,6.0,#N/A,#N/A,#N/A,5.0
211094,7.0,8.7,8.8,8.7,9.0,#N/A
211120,6.1,7.1,6.0,5.0,#N/A,#N/A
211132,7.2,6.8,8.4,7.0,7.1,8.6
211166,#N/A,#N/A,#N/A,6.8,8.2,6.1
211201,9.8,10,10,10,10,9.1
211773,8.2,8.2,7.8,6.5,8.7,7.4
212005,7.0,8.3,7.3,#N/A,5.0,#N/A
212305,6.3,6.6,5.0,7.8,6.9,7.6
212681,5.7,6.0,6.4,5.0,5.0,#N/A
212930,8.2,5.0,6.8,5.0,5.0,#N/A
213289,6.6,5.0,6.5,#N/A,#N/A,#N/A
214430,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
214750,5.0,8.9,8.2,5.0,#N/A,#N/A
217067,10,9.6,9.2,9.9,9.6,7.8
217098,9.4,9.7,7.7,7.2,8.2,6.0
217152,8.4,9.8,8.1,7.9,9.0,7.6
218277,10,8.7,9.2,9.4,8.5,7.2
218280,6.9,7.0,6.1,5.0,5.0,#N/A
218341,9.0,9.1,9.3,8.7,7.6,7.5
220671,8.7,8.0,8.5,7.4,6.6,5.0
221319,7.5,5.0,6.2,#N/A,#N/A,#N/A
221584,6.8,#N/A,#N/A,#N/A,#N/A,#N/A
222231,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
222879,6.5,8.9,8.0,9.2,8.5,7.7
222900,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
222947,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
223014,6.5,6.7,7.7,6.2,7.2,5.0
223200,9.2,9.5,8.7,9.4,8.8,9.0
224360,#N/A,7.3,5.2,5.5,6.4,#N/A
224504,8.6,6.0,8.3,6.9,#N/A,#N/A
226001,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
226005,6.4,6.8,6.2,6.0,5.0,#N/A
226052,6.7,6.0,6.0,6.0,7.7,#N/A
226136,9.6,9.6,9.1,8.8,6.9,7.2
226394,7.8,7.5,6.6,8.1,6.8,6.7
226400,6.5,6.0,6.7,5.0,6.1,#N/A
226408,7.3,7.7,7.3,7.9,8.0,7.3
226410,9.3,8.7,7.6,6.9,6.8,5.3
226411,9.9,9.8,9.4,8.8,7.8,7.9
226459,9.7,9.7,9.5,#N/A,#N/A,#N/A
226462,6.2,6.9,7.4,#N/A,#N/A,#N/A
226562,10,10,10,7.8,8.2,6.9
226566,9.9,10,10,9.7,9.5,9.9
226684,9.3,9.0,9.4,6.6,7.3,6.5
226687,9.0,9.2,9.0,7.5,7.4,7.3
226997,6.6,5.8,6.8,#N/A,#N/A,#N/A
227486,10,8.5,9.4,9.6,8.4,8.1
227638,6.6,6.0,8.3,5.0,5.0,#N/A
227705,#N/A,7.5,9.7,6.6,7.5,6.1
228314,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
228315,#N/A,#N/A,#N/A,8.2,6.7,6.0
228712,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
229570,8.7,9.0,9.4,9.1,8.9,8.1
229826,8.3,#N/A,8.7,6.3,#N/A,#N/A
229902,8.8,7.5,8.9,7.9,8.7,7.5
230020,7.0,6.0,7.9,#N/A,6.6,#N/A
230612,7.1,7.6,6.9,7.0,7.0,6.0
230613,9.0,9.7,10,7.9,8.5,7.2
231423,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
231863,5.0,5.0,7.9,#N/A,6.0,#N/A
232131,#N/A,#N/A,6.6,#N/A,#N/A,5.0
232434,6.6,6.0,6.2,#N/A,7.8,#N/A
232835,8.1,5.0,7.0,#N/A,5.0,#N/A
232948,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
